Fiscal Year,State_Abbr,FIPS,State/Territory,Case and Procedural Error Rates,Source_Document
2022,UT,49,Utah,24.58,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,VT,50,Vermont,33.03,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,VI,78,Virgin Islands,41.91,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,VA,51,Virginia,47.06,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,WA,53,Washington,29.65,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,WV,54,West Virginia,28.95,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,WI,55,Wisconsin,33.34,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2022,WY,56,Wyoming,11.05,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy22.pdf
2019,AL,01,Alabama,43.66,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,AK,02,Alaska,38.98,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,AZ,04,Arizona,32.7,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,AR,05,Arkansas,28.64,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,CA,06,California,34.3,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,CO,08,Colorado,27.6,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,CT,09,Connecticut,58.14,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,DE,10,Delaware,26.14,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,DC,11,District of Columbia,61.73,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,FL,12,Florida,20.43,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,GA,13,Georgia,87.42,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,GU,66,Guam,74.88,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,HI,15,Hawaii,36.76,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,ID,16,Idaho,9.08,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,IL,17,Illinois,51.43,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,IN,18,Indiana,42.43,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,IA,19,Iowa,19.49,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,KS,20,Kansas,33.42,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,KY,21,Kentucky,57.62,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,LA,22,Louisiana,34.74,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,ME,23,Maine,64.24,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,MD,24,Maryland,28.39,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,MA,25,Massachusetts,36.8,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,MI,26,Michigan,36.05,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,MN,27,Minnesota,48.96,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,MS,28,Mississippi,46.27,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,MO,29,Missouri,13.49,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,MT,30,Montana,30.39,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,NE,31,Nebraska,17.27,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,NV,32,Nevada,35.5,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,NH,33,New Hampshire,30.96,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,NJ,34,New Jersey,37.64,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,NM,35,New Mexico,15.32,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,NY,36,New York,37.64,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,NC,37,North Carolina,41.06,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,ND,38,North Dakota,25.09,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,OH,39,Ohio,49.21,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,OK,40,Oklahoma,15.1,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,OR,41,Oregon,25.77,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,PA,42,Pennsylvania,23.8,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,RI,44,Rhode Island,58.11,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,SC,45,South Carolina,13.96,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,SD,46,South Dakota,5.04,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,TN,47,Tennessee,23.4,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,TX,48,Texas,33.54,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,UT,49,Utah,23.6,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,VT,50,Vermont,26.14,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,VI,78,Virgin Islands,15.3,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,VA,51,Virginia,35.81,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,WA,53,Washington,16.91,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,WV,54,West Virginia,18.83,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,WI,55,Wisconsin,30.06,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
2019,WY,56,Wyoming,14.61,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-qc-caper-fy19.pdf
