Fiscal Year,State_Abbr,FIPS,State/Territory,Over Payments,Under Payments,Payment Error Rates,Source_Document
2003,AK,02,Alaska,10.84,3.04,13.88,
2004,AK,02,Alaska,4.98,1.98,6.96,
2005,AK,02,Alaska,5.64,0.87,6.51,
2006,AK,02,Alaska,5.25,0.56,5.81,
2007,AK,02,Alaska,2.86,1.19,4.04,
2008,AK,02,Alaska,4.97,2.51,7.48,
2009,AK,02,Alaska,2.29,1.52,3.81,
2010,AK,02,Alaska,2,0.14,2.15,
2011,AK,02,Alaska,0.53,0.24,0.76,
2012,AK,02,Alaska,0.85,0.21,1.07,
2013,AK,02,Alaska,1.21,0.06,1.27,
2014,AK,02,Alaska,0.77,0.13,0.89,
2017,AK,02,Alaska,5.8,1.47,7.27,
2018,AK,02,Alaska,4.66,1.71,6.37,
2019,AK,02,Alaska,9.07,2.12,11.19,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,AK,02,Alaska,56.69,0.29,56.97,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,AK,02,Alaska,59.59,0.78,60.37,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,AL,01,Alabama,6.87,1.14,8.02,
2004,AL,01,Alabama,7.02,0.98,8,
2005,AL,01,Alabama,3.25,0.43,3.68,
2006,AL,01,Alabama,3.05,0.75,3.8,
2007,AL,01,Alabama,3.75,1.03,4.78,
2008,AL,01,Alabama,3.27,0.96,4.23,
2009,AL,01,Alabama,3.03,0.54,3.57,
2010,AL,01,Alabama,3.31,0.44,3.75,
2011,AL,01,Alabama,4.18,0.91,5.1,
2012,AL,01,Alabama,1.62,0.23,1.85,
2013,AL,01,Alabama,1.43,0.27,1.7,
2014,AL,01,Alabama,1.26,0.77,2.03,
2017,AL,01,Alabama,3.15,1.04,4.19,
2018,AL,01,Alabama,3.93,0.66,4.59,
2019,AL,01,Alabama,6.87,0.42,7.29,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,AL,01,Alabama,3.96,0.72,4.68,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,AL,01,Alabama,5.44,1.64,7.07,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,AR,05,Arkansas,3.52,0.5,4.02,
2004,AR,05,Arkansas,4.07,1.26,5.34,
2005,AR,05,Arkansas,4.72,0.71,5.43,
2006,AR,05,Arkansas,6.33,0.82,7.15,
2007,AR,05,Arkansas,6.09,0.92,7.01,
2008,AR,05,Arkansas,5.2,0.9,6.1,
2009,AR,05,Arkansas,3.99,0.74,4.74,
2010,AR,05,Arkansas,4.79,0.85,5.64,
2011,AR,05,Arkansas,4.71,1.08,5.79,
2012,AR,05,Arkansas,4.06,0.7,4.76,
2013,AR,05,Arkansas,3.51,0.84,4.34,
2014,AR,05,Arkansas,4.81,0.77,5.58,
2017,AR,05,Arkansas,5.17,1.68,6.85,
2018,AR,05,Arkansas,4.77,0.83,5.6,
2019,AR,05,Arkansas,5.48,0.43,5.91,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,AR,05,Arkansas,10.21,1.1,11.31,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,AR,05,Arkansas,8.76,0.81,9.57,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,AZ,04,Arizona,4.71,1.13,5.83,
2004,AZ,04,Arizona,5.12,1.42,6.54,
2005,AZ,04,Arizona,6.02,1.59,7.61,
2006,AZ,04,Arizona,6.84,1.42,8.26,
2007,AZ,04,Arizona,3.73,1.14,4.87,
2008,AZ,04,Arizona,3.24,1.44,4.68,
2009,AZ,04,Arizona,3.57,2.42,5.99,
2010,AZ,04,Arizona,4.93,1.76,6.69,
2011,AZ,04,Arizona,4.65,1.69,6.34,
2012,AZ,04,Arizona,4.27,1.33,5.6,
2013,AZ,04,Arizona,3.99,1.49,5.48,
2014,AZ,04,Arizona,4.07,1.11,5.18,
2015,AZ,04,Arizona,3.7,1.01,4.7,
2017,AZ,04,Arizona,7.55,1.54,9.08,
2018,AZ,04,Arizona,4.95,1.04,5.99,
2019,AZ,04,Arizona,4.41,0.84,5.24,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,AZ,04,Arizona,9.62,1.77,11.39,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,AZ,04,Arizona,9.72,1.67,11.39,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,CA,06,California,5.71,2.25,7.96,
2004,CA,06,California,4.73,1.6,6.32,
2005,CA,06,California,4.27,2.12,6.38,
2006,CA,06,California,5.28,1.7,6.98,
2007,CA,06,California,4.08,1.23,5.31,
2008,CA,06,California,4.07,1.7,5.77,
2009,CA,06,California,3.07,1.29,4.36,
2010,CA,06,California,3.56,1.26,4.81,
2011,CA,06,California,2.65,1.92,4.58,
2012,CA,06,California,3.06,0.93,3.98,
2013,CA,06,California,2.82,0.81,3.63,
2014,CA,06,California,4.14,0.99,5.13,
2017,CA,06,California,6.61,1.33,7.93,
2018,CA,06,California,5.96,1.3,7.25,
2019,CA,06,California,6.42,0.89,7.31,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,CA,06,California,9.59,1.51,11.1,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,CA,06,California,11.61,1.78,13.4,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,CO,08,Colorado,6.08,1.32,7.4,
2004,CO,08,Colorado,2.33,0.6,2.93,
2005,CO,08,Colorado,5.02,2.4,7.42,
2006,CO,08,Colorado,5.27,1.41,6.68,
2007,CO,08,Colorado,5.15,1.89,7.05,
2008,CO,08,Colorado,2.6,0.72,3.32,
2009,CO,08,Colorado,2.05,0.67,2.72,
2010,CO,08,Colorado,1.72,1.46,3.18,
2011,CO,08,Colorado,3.25,1.19,4.45,
2012,CO,08,Colorado,3.23,1.32,4.55,
2013,CO,08,Colorado,4.12,1.47,5.59,
2014,CO,08,Colorado,3.27,0.99,4.26,
2017,CO,08,Colorado,4.75,1.48,6.22,
2018,CO,08,Colorado,4.04,1.39,5.43,
2019,CO,08,Colorado,6.91,1.76,8.67,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,CO,08,Colorado,5.29,2.02,7.31,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,CO,08,Colorado,6.45,2.16,8.61,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,CT,09,Connecticut,7.02,1.75,8.77,
2004,CT,09,Connecticut,3.62,1.32,4.94,
2005,CT,09,Connecticut,5.01,1.61,6.61,
2006,CT,09,Connecticut,3.89,1.57,5.46,
2007,CT,09,Connecticut,4.41,2.1,6.51,
2008,CT,09,Connecticut,6.18,1.97,8.16,
2009,CT,09,Connecticut,4.3,0.85,5.15,
2010,CT,09,Connecticut,6.23,1.43,7.66,
2011,CT,09,Connecticut,4.42,2.04,6.46,
2012,CT,09,Connecticut,4.75,1.24,5.99,
2013,CT,09,Connecticut,5.58,1.55,7.13,
2014,CT,09,Connecticut,4.89,0.95,5.84,
2017,CT,09,Connecticut,4.71,0.87,5.58,
2018,CT,09,Connecticut,6.72,2.05,8.77,
2019,CT,09,Connecticut,9.08,1.42,10.5,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,CT,09,Connecticut,7.21,1.73,8.93,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,CT,09,Connecticut,7.33,1.58,8.91,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,DC,11,District of Columbia,7.08,1.89,8.97,
2004,DC,11,District of Columbia,4.75,0.9,5.65,
2005,DC,11,District of Columbia,8.21,1.69,9.89,
2006,DC,11,District of Columbia,7.74,1.88,9.62,
2007,DC,11,District of Columbia,6.53,1.8,8.34,
2008,DC,11,District of Columbia,4.61,1.65,6.26,
2009,DC,11,District of Columbia,3.35,0.57,3.92,
2010,DC,11,District of Columbia,3.76,0.71,4.47,
2011,DC,11,District of Columbia,1.83,1.2,3.03,
2012,DC,11,District of Columbia,3.24,0.67,3.91,
2013,DC,11,District of Columbia,5.98,0.89,6.87,
2014,DC,11,District of Columbia,6.14,1.24,7.38,
2017,DC,11,District of Columbia,8.72,1.99,10.7,
2018,DC,11,District of Columbia,13.69,2.65,16.33,
2019,DC,11,District of Columbia,13.3,2.44,15.74,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,DC,11,District of Columbia,14.55,4.4,18.95,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,DC,11,District of Columbia,15.68,4.58,20.26,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,DE,10,Delaware,4.07,1.31,5.38,
2004,DE,10,Delaware,4.29,1.95,6.24,
2005,DE,10,Delaware,4.3,2.16,6.46,
2006,DE,10,Delaware,6.56,1.35,7.92,
2007,DE,10,Delaware,7.46,1.9,9.36,
2008,DE,10,Delaware,4.36,1.16,5.52,
2009,DE,10,Delaware,0.77,0.37,1.15,
2010,DE,10,Delaware,1.11,0.41,1.52,
2011,DE,10,Delaware,2.01,0.52,2.53,
2012,DE,10,Delaware,2.99,0.41,3.41,
2013,DE,10,Delaware,2.7,0.83,3.53,
2014,DE,10,Delaware,2.25,0.53,2.78,
2017,DE,10,Delaware,12.27,1.67,13.95,
2018,DE,10,Delaware,11.95,1.29,13.24,
2019,DE,10,Delaware,11.04,2.12,13.16,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,DE,10,Delaware,18.61,3.83,22.43,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,DE,10,Delaware,19.23,3.57,22.8,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,FL,12,Florida,5.5,2.5,7.93,
2004,FL,12,Florida,5.24,0.92,6.16,
2005,FL,12,Florida,5.88,1.32,7.19,
2006,FL,12,Florida,6.95,1.65,8.59,
2007,FL,12,Florida,3.94,0.21,4.15,
2008,FL,12,Florida,0.81,0.04,0.85,
2009,FL,12,Florida,0.53,0.16,0.7,
2010,FL,12,Florida,0.74,0.04,0.78,
2011,FL,12,Florida,0.68,0.19,0.87,
2012,FL,12,Florida,0.59,0.17,0.77,
2013,FL,12,Florida,0.52,0.28,0.81,
2014,FL,12,Florida,0.38,0.05,0.42,
2017,FL,12,Florida,5.28,1.14,6.42,
2018,FL,12,Florida,3.9,0.49,4.39,
2019,FL,12,Florida,4.56,0.77,5.33,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,FL,12,Florida,7.45,1.15,8.59,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,FL,12,Florida,11.25,1.35,12.6,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,GA,13,Georgia,4,1.16,5.15,
2004,GA,13,Georgia,5.26,0.95,6.21,
2005,GA,13,Georgia,4.31,0.58,4.89,
2006,GA,13,Georgia,6.38,0.78,7.16,
2007,GA,13,Georgia,7.22,0.91,8.13,
2008,GA,13,Georgia,2.02,0.48,2.5,
2009,GA,13,Georgia,1.91,0.19,2.1,
2010,GA,13,Georgia,1.64,0.35,1.99,
2011,GA,13,Georgia,1.97,0.74,2.71,
2012,GA,13,Georgia,2.41,0.78,3.18,
2013,GA,13,Georgia,4.48,0.63,5.11,
2014,GA,13,Georgia,4.93,1.55,6.49,
2017,GA,13,Georgia,5.5,1.03,6.53,
2018,GA,13,Georgia,7.39,1.72,9.11,
2019,GA,13,Georgia,7.45,1.85,9.3,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,GA,13,Georgia,11.75,3.23,14.98,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,GA,13,Georgia,9.12,2.95,12.07,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,GU,66,Guam,4.64,2.4,7.04,
2004,GU,66,Guam,3.81,2.8,6.61,
2005,GU,66,Guam,4.08,2.12,6.2,
2006,GU,66,Guam,4.71,1.75,6.45,
2007,GU,66,Guam,4.45,2.1,6.55,
2008,GU,66,Guam,6.93,2.43,9.36,
2009,GU,66,Guam,3.23,1,4.24,
2010,GU,66,Guam,4.17,1.25,5.42,
2011,GU,66,Guam,4.6,1.65,6.25,
2012,GU,66,Guam,5.83,1.51,7.33,
2013,GU,66,Guam,5.47,1.18,6.65,
2014,GU,66,Guam,5.13,1.96,7.08,
2015,GU,66,Guam,6.41,2.12,8.53,
2017,GU,66,Guam,5,2.56,7.56,
2018,GU,66,Guam,6.82,2.28,9.09,
2019,GU,66,Guam,9.74,2.15,11.89,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,GU,66,Guam,12.68,3.63,16.31,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,GU,66,Guam,15.22,2.79,18.01,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,HI,15,Hawaii,3.45,1.33,4.78,
2004,HI,15,Hawaii,3.45,0.9,4.35,
2005,HI,15,Hawaii,3.95,1.68,5.63,
2006,HI,15,Hawaii,2.33,1.06,3.4,
2007,HI,15,Hawaii,2.61,0.59,3.2,
2008,HI,15,Hawaii,2.15,1.3,3.45,
2009,HI,15,Hawaii,2.92,0.56,3.48,
2010,HI,15,Hawaii,2.28,0.76,3.04,
2011,HI,15,Hawaii,2.76,0.61,3.37,
2012,HI,15,Hawaii,3.88,0.96,4.84,
2013,HI,15,Hawaii,3.85,0.54,4.39,
2014,HI,15,Hawaii,3.44,0.69,4.13,
2017,HI,15,Hawaii,4.74,1.1,5.84,
2018,HI,15,Hawaii,3.67,0.81,4.48,
2019,HI,15,Hawaii,4.45,1.76,6.21,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,HI,15,Hawaii,19.65,2.13,21.78,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,HI,15,Hawaii,19.97,0.97,20.94,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,IA,19,Iowa,4.13,1.1,5.23,
2004,IA,19,Iowa,4.98,1.2,6.19,
2005,IA,19,Iowa,5.22,0.8,6.03,
2006,IA,19,Iowa,4.71,1.69,6.4,
2007,IA,19,Iowa,5.32,1.53,6.85,
2008,IA,19,Iowa,6.43,1.57,8.01,
2009,IA,19,Iowa,5.62,0.86,6.49,
2010,IA,19,Iowa,2.72,0.64,3.36,
2011,IA,19,Iowa,3.53,0.44,3.97,
2012,IA,19,Iowa,3.13,0.3,3.43,
2013,IA,19,Iowa,3.75,0.37,4.12,
2014,IA,19,Iowa,3.59,1.01,4.6,
2017,IA,19,Iowa,8.36,1.25,9.61,
2018,IA,19,Iowa,8.91,1.11,10.02,
2019,IA,19,Iowa,10.78,1.68,12.47,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,IA,19,Iowa,6.78,1.82,8.6,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,IA,19,Iowa,4.43,0.76,5.19,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,ID,16,Idaho,7.9,3.41,11.31,
2004,ID,16,Idaho,6.13,2.92,9.05,
2005,ID,16,Idaho,6.03,2.31,8.34,
2006,ID,16,Idaho,3.78,0.87,4.64,
2007,ID,16,Idaho,3.54,0.9,4.44,
2008,ID,16,Idaho,2.78,0.8,3.59,
2009,ID,16,Idaho,2.05,0.65,2.69,
2010,ID,16,Idaho,2.53,0.79,3.32,
2011,ID,16,Idaho,1.94,0.58,2.52,
2012,ID,16,Idaho,2.16,0.33,2.49,
2013,ID,16,Idaho,1.56,0.3,1.86,
2014,ID,16,Idaho,2.4,0.33,2.74,
2017,ID,16,Idaho,2.05,0.33,2.38,
2018,ID,16,Idaho,1.83,0.3,2.13,
2019,ID,16,Idaho,1.02,0.23,1.25,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,ID,16,Idaho,3.26,0.18,3.44,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,ID,16,Idaho,2.96,0.46,3.42,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,IL,17,Illinois,4.1,0.77,4.87,
2004,IL,17,Illinois,4.66,0.95,5.61,
2005,IL,17,Illinois,4.76,1,5.75,
2006,IL,17,Illinois,4.61,1.48,6.09,
2007,IL,17,Illinois,4.44,0.71,5.15,
2008,IL,17,Illinois,3.39,0.91,4.3,
2009,IL,17,Illinois,5.6,0.57,6.17,
2010,IL,17,Illinois,1.29,0.41,1.7,
2011,IL,17,Illinois,2.47,0.68,3.15,
2012,IL,17,Illinois,1.24,0.5,1.74,
2013,IL,17,Illinois,3.46,0.81,4.27,
2014,IL,17,Illinois,4.34,0.93,5.27,
2017,IL,17,Illinois,5.01,0.71,5.73,
2018,IL,17,Illinois,7.89,1.72,9.61,
2019,IL,17,Illinois,7.42,1.41,8.84,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,IL,17,Illinois,9.67,1.24,10.91,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,IL,17,Illinois,8,1.91,9.91,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,IN,18,Indiana,7.94,2.06,10,
2004,IN,18,Indiana,4.35,1.48,5.84,
2005,IN,18,Indiana,5.47,1.11,6.58,
2006,IN,18,Indiana,4.98,1.66,6.64,
2007,IN,18,Indiana,5.52,1.42,6.94,
2008,IN,18,Indiana,5.91,1.6,7.51,
2009,IN,18,Indiana,5.45,1.68,7.13,
2010,IN,18,Indiana,2.05,0.55,2.6,
2011,IN,18,Indiana,2.7,0.59,3.29,
2012,IN,18,Indiana,2.66,0.36,3.02,
2013,IN,18,Indiana,3.22,0.49,3.72,
2014,IN,18,Indiana,3.84,0.92,4.76,
2017,IN,18,Indiana,8.84,1.05,9.89,
2018,IN,18,Indiana,6.24,0.94,7.18,
2019,IN,18,Indiana,7.69,1.51,9.2,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,IN,18,Indiana,6.59,2.1,8.69,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,IN,18,Indiana,8.96,1.5,10.46,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,KS,20,Kansas,8.04,2.41,10.45,
2004,KS,20,Kansas,4.16,0.95,5.11,
2005,KS,20,Kansas,3.47,0.91,4.37,
2006,KS,20,Kansas,5.09,1.3,6.39,
2007,KS,20,Kansas,3.03,0.67,3.7,
2008,KS,20,Kansas,3.6,0.41,4.01,
2009,KS,20,Kansas,3.55,0.82,4.37,
2010,KS,20,Kansas,3.93,0.86,4.79,
2011,KS,20,Kansas,3.83,1.17,5,
2012,KS,20,Kansas,4.59,0.85,5.45,
2013,KS,20,Kansas,3.24,0.75,3.99,
2014,KS,20,Kansas,0.6,0.14,0.75,
2015,KS,20,Kansas,0.69,0.34,1.04,
2017,KS,20,Kansas,2.9,0.95,3.85,
2018,KS,20,Kansas,4.83,1.03,5.86,
2019,KS,20,Kansas,6.59,0.51,7.1,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY2019SNAPQCPaymentErrorRateChartGeneric.pdf
2022,KS,20,Kansas,8.74,0.33,9.07,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy22-qc-payment-error-rate.pdf
2023,KS,20,Kansas,11.33,0.74,12.07,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-fy23-qc-payment-error-rate.pdf
2003,KY,21,Kentucky,5.1,1.22,6.32,
2004,KY,21,Kentucky,4.67,0.96,5.63,
2005,KY,21,Kentucky,3.57,0.99,4.56,
2006,KY,21,Kentucky,5.1,0.85,5.95,
2007,KY,21,Kentucky,4.25,0.68,4.93,
2008,KY,21,Kentucky,5.12,1.24,6.36,
2009,KY,21,Kentucky,3.72,0.98,4.7,
2010,KY,21,Kentucky,3.08,1.01,4.09,
2011,KY,21,Kentucky,3.92,0.58,4.5,
